,Highest educational level,Used a method at last sexual intercourse,Wife justified asking husband to use condom if he has STI,Drugs to avoid HIV transmission to baby during pregnancy,Total lifetime number of sex partners,Heard of ARVs to treat HIV,Respondent can refuse sex,Respondent can ask partner to use a condom,Knowledge and use of HIV test kits,Perception Mean
0,2,0,0,1,1,1,0,0,0,0.375
1,2,0,0,0,1,0,1,0,0,0.25
2,1,1,1,0,1,0,1,1,0,0.625
3,2,0,1,1,1,1,1,0,0,0.625
4,2,0,0,0,1,0,0,0,0,0.125
5,1,1,0,0,1,1,1,0,0,0.5
6,1,0,1,0,1,0,1,1,0,0.5
7,3,1,0,0,1,0,1,0,0,0.375
8,1,0,0,1,1,1,0,0,0,0.375
9,1,0,1,0,1,1,1,0,0,0.5
10,1,0,0,1,1,1,1,1,0,0.625
11,3,0,0,1,1,1,0,0,1,0.5
12,2,0,1,0,1,1,1,1,0,0.625
13,1,0,1,1,1,1,0,0,0,0.5
14,2,0,1,0,1,1,1,1,1,0.75
15,2,1,0,0,1,0,1,0,0,0.375
16,2,1,0,0,1,0,1,1,0,0.5
17,3,0,1,0,1,0,1,1,0,0.5
18,2,1,1,0,1,1,1,1,1,0.875
19,2,0,0,1,1,1,1,0,0,0.5
20,3,0,1,1,1,1,1,1,1,0.875
21,1,0,1,1,1,0,1,1,0,0.625
22,3,0,1,0,1,0,1,1,0,0.5
23,2,0,1,0,1,0,0,0,0,0.25
24,1,0,0,1,1,0,1,1,0,0.5
25,3,0,0,0,1,1,0,0,0,0.25
26,2,0,0,0,1,0,0,0,0,0.125
27,3,0,1,0,1,0,1,0,0,0.375
28,1,1,0,0,1,0,1,1,0,0.5
29,2,0,1,0,1,0,1,1,0,0.5
30,2,0,1,0,1,0,1,1,0,0.5
31,1,0,0,0,1,0,1,0,0,0.25
32,1,0,0,0,1,0,1,1,0,0.375
33,2,0,1,0,1,0,1,1,0,0.5
34,1,0,1,0,1,0,0,0,0,0.25
35,3,0,1,0,1,0,1,1,1,0.625
36,2,0,1,0,1,1,1,1,1,0.75
37,2,0,1,1,1,0,1,1,0,0.625
38,2,0,1,1,1,0,1,1,0,0.625
39,3,0,1,0,1,1,1,1,1,0.75
40,2,0,1,1,1,0,1,0,0,0.5
41,1,0,1,0,1,0,0,0,0,0.25
42,1,0,1,0,1,1,1,1,1,0.75
43,1,0,1,1,1,0,1,0,0,0.5
44,3,1,1,0,1,1,1,1,0,0.75
45,3,0,1,0,1,1,1,1,1,0.75
46,3,0,1,0,1,0,0,0,0,0.25
47,3,0,1,0,1,1,1,1,0,0.625
48,3,0,1,0,1,1,1,1,1,0.75
49,2,0,1,0,1,0,0,0,0,0.25
50,3,0,1,1,1,1,1,1,1,0.875
51,1,0,0,0,1,0,0,0,0,0.125
52,1,0,1,0,1,0,1,0,0,0.375
53,2,0,0,1,1,0,1,1,0,0.5
54,3,0,1,0,1,0,1,0,0,0.375
55,3,0,0,0,1,0,1,1,0,0.375
56,3,0,0,0,1,0,0,0,0,0.125
57,3,0,1,0,1,0,1,1,0,0.5
58,3,0,0,0,1,0,1,1,0,0.375
59,2,0,1,1,1,1,1,0,0,0.625
60,2,0,1,0,1,1,1,1,0,0.625
61,3,1,0,0,1,0,0,0,0,0.25
62,2,1,0,0,1,0,1,0,0,0.375
63,3,0,0,1,1,1,1,0,0,0.5
64,1,0,0,1,1,1,1,0,0,0.5
65,1,0,1,1,1,0,1,1,0,0.625
66,3,1,1,1,1,1,1,1,0,0.875
67,2,0,0,0,1,0,1,0,0,0.25
68,1,0,1,0,1,0,1,1,0,0.5
69,1,0,1,0,1,0,1,1,0,0.5
70,1,0,1,0,1,0,1,1,0,0.5
71,2,0,1,0,1,0,0,0,0,0.25
72,2,0,0,0,1,0,1,1,0,0.375
73,2,0,1,0,1,0,0,0,0,0.25
